horizon,decile,mean,se,t_stat,n_events,n_quarters
1,1,-0.004259809350270396,0.00047641769092696785,-8.941333269933926,17471,72
1,2,-0.00308182860036022,0.00037633540469352456,-8.189047753479272,17456,72
1,3,-0.0018330288030880331,0.00037240106770166796,-4.922189977598238,16087,72
1,4,-0.0008642090068906692,0.00029164089469754394,-2.963264146432298,21645,72
1,5,0.000626821175624148,0.00034645137096458013,1.8092616400361474,14427,72
1,6,0.0002654730024111645,0.0003473175108881502,0.7643524846538969,18344,72
1,7,0.0013917688215230387,0.00035172875583013426,3.9569378347762583,17535,72
1,8,0.001568903250420524,0.0003389337729724901,4.62893749613989,16799,72
1,9,0.002946023469202148,0.0003297359557942346,8.934492637013348,17863,72
1,10,0.003720307664839765,0.0003382928837367113,10.997298032834852,17407,72
5,1,-0.007813463271280595,0.0008103610687603131,-9.641952917646448,17457,72
5,2,-0.00558245181620759,0.0006427780024829937,-8.684883108387467,17448,72
5,3,-0.0025515314870741407,0.0006033612009651997,-4.22886238457568,16083,72
5,4,-0.0014005076186872233,0.000607339715080728,-2.3059707506548737,21636,72
5,5,-0.00046228117266729495,0.0007114834173471649,-0.6497427225935289,14419,72
5,6,4.918730252694829e-06,0.0005488562909313175,0.00896178167940567,18337,72
5,7,0.001794162019854317,0.0006338390163122282,2.830627294439879,17529,72
5,8,0.0030892967740715088,0.0005124943010228873,6.027963175211084,16790,72
5,9,0.005073577189648456,0.000647292205333621,7.838155855798514,17853,72
5,10,0.008121267829677235,0.0006986907260898431,11.623551775371553,17401,72
10,1,-0.008240379063436786,0.0010954644690538795,-7.522269590864741,17424,72
10,2,-0.006529482951161764,0.0009461848968553108,-6.900853070961925,17434,72
10,3,-0.003064789208706905,0.0007299119362330859,-4.1988479110556876,16071,72
10,4,-0.002072742535958628,0.0007200918976880742,-2.8784416858645008,21622,72
10,5,-0.001119981196534563,0.0008797927647901862,-1.2730056910636873,14409,72
10,6,-0.0001325595116434751,0.0007510530090162673,-0.17649820991610451,18329,72
10,7,0.0023793381393190528,0.0007741663222649112,3.0734198464717886,17518,72
10,8,0.0028155431966793588,0.0006662326144980001,4.226066294879369,16784,72
10,9,0.006750906846543394,0.0008084724761174416,8.35019997089268,17846,72
10,10,0.009705249467854862,0.0008638025525424071,11.235495240538082,17387,72
20,1,-0.009561406547153092,0.0013652764720946816,-7.003274972199192,17381,72
20,2,-0.00764611827346065,0.001007806154061016,-7.586893811523329,17404,72
20,3,-0.0034120079004171895,0.0010522888791218874,-3.24246313737007,16045,72
20,4,-0.0025439430034682278,0.0011611708179250497,-2.1908430389373015,21597,72
20,5,-0.0010075465116485781,0.001292496198425994,-0.7795353772611259,14394,72
20,6,-0.0006751531625334504,0.0012278494442953215,-0.5498664072132471,18314,72
20,7,0.00208566447787953,0.001178905902086707,1.7691526305770686,17499,72
20,8,0.004007879875313957,0.0009036108340174404,4.4354048495578375,16763,72
20,9,0.007765060814089231,0.0009642107495134726,8.053281731205935,17834,72
20,10,0.01225247224976583,0.0012055610056856084,10.16329508998824,17353,72
40,1,-0.011957007132473064,0.0017527768618729232,-6.8217508985692845,17270,72
40,2,-0.008898958100618824,0.001980808028471846,-4.492589878830506,17319,72
40,3,-0.004386150241359268,0.0016902023762813433,-2.5950444177041962,15980,72
40,4,-0.005237426448054209,0.0018317371105316576,-2.859267532410291,21520,72
40,5,-0.001738918040371816,0.0019193298612723265,-0.9060027020155279,14346,72
40,6,-0.0011021323591536261,0.0013533966899094614,-0.8143453928702573,18262,72
40,7,0.0022097352760946137,0.001746243528103133,1.2654221708096758,17447,72
40,8,0.006719931267739421,0.0016048196093028195,4.187343691954734,16714,72
40,9,0.00891247813971273,0.0016755346166619674,5.319184725331634,17776,72
40,10,0.015969921046121313,0.001792770493545334,8.907956207232992,17285,72
60,1,-0.017089238587316338,0.0026368030170739647,-6.4810448397772635,17145,72
60,2,-0.012890265498965643,0.002531803312268043,-5.091337639264825,17224,72
60,3,-0.005272060006383549,0.0029712810658792596,-1.7743390441669458,15909,72
60,4,-0.007347071842581854,0.0024754952506678145,-2.967919991201694,21433,72
60,5,-0.0013149612984654777,0.002601178912556855,-0.5055251263639237,14287,72
60,6,-0.0015142917481891821,0.0015787778525044878,-0.9591544154150576,18190,72
60,7,0.0030412022879451844,0.002176789530693636,1.397104426065529,17390,72
60,8,0.011385887820997908,0.0019499926270375525,5.838938908346263,16658,72
60,9,0.013688542901569766,0.0022282005332962076,6.143317307854746,17700,72
60,10,0.020480469054547597,0.00240574278696504,8.513158250132257,17211,72
80,1,-0.01620492178910759,0.002882915162642158,-5.621019306810252,17061,72
80,2,-0.012149472785184662,0.0028316106230334443,-4.290658004443135,17159,72
80,3,-0.0014700788132833457,0.004354379889276931,-0.33760922350931133,15853,72
80,4,-0.008459941540840064,0.003006823480584724,-2.8135810417427285,21359,72
80,5,-0.0038087108784814233,0.002946575798381971,-1.2925888010662645,14252,72
80,6,-0.0032449970377204187,0.001878851175967106,-1.7271176553140846,18130,72
80,7,0.002765226478272373,0.0025057863012028364,1.1035364336316307,17336,72
80,8,0.009132040759562948,0.0023838702191298195,3.830762550025229,16600,72
80,9,0.014523132826212518,0.0026229492658683766,5.536947670013115,17659,72
80,10,0.018671702198016466,0.0026747969884459975,6.980605361330373,17162,72
100,1,-0.017901341946743768,0.0034517263930007322,-5.186199573362294,16953,72
100,2,-0.0121256286166446,0.0031158888571934137,-3.8915472189102926,17081,72
100,3,-0.004757567273329792,0.003146175771122707,-1.5121746588341638,15782,72
100,4,-0.007250569850781501,0.003112549333820306,-2.329463431148973,21271,72
100,5,-0.0014750878875342186,0.003326322551935259,-0.4434590646285973,14202,72
100,6,-0.004675913170541804,0.0026855475343391267,-1.741139604029566,18074,72
100,7,0.0038862430108695728,0.0029203679862866826,1.33073743758266,17277,72
100,8,0.009073618257378022,0.0028719316091466904,3.159413068361325,16541,72
100,9,0.015636573611212474,0.003053192217909726,5.12138525687635,17583,72
100,10,0.017552748858316727,0.0031798381756041735,5.520013248781655,17116,72
120,1,-0.019613024988304077,0.003851587323783506,-5.092192734978091,16835,72
120,2,-0.014907951885735972,0.0034816702539424327,-4.281839116974133,16977,72
120,3,-0.00453115393286289,0.004119439161590019,-1.0999443747371564,15708,72
120,4,-0.008072874750191975,0.0035053908990146875,-2.302988449151602,21185,72
120,5,-0.0014142725756264604,0.003372734290308676,-0.41932522810654754,14142,72
120,6,-0.0024799630220351887,0.0027410484305809267,-0.9047498009765539,17989,72
120,7,0.006018086279075993,0.0031169474267852336,1.930762844236659,17196,72
120,8,0.009845132805016294,0.003160190654743481,3.1153603945504496,16463,72
120,9,0.01546394923810698,0.003160586849039373,4.892746181870333,17507,72
