decile,horizon,cumulative_mean,marginal_return,marginal_per_day
1,1,-0.004259809350270396,-0.004259809350270396,-0.004259809350270396
1,5,-0.007813463271280595,-0.003553653921010199,-0.0008884134802525498
1,10,-0.008240379063436786,-0.00042691579215619127,-8.538315843123825e-05
1,20,-0.009561406547153092,-0.0013210274837163055,-0.00013210274837163055
1,40,-0.011957007132473064,-0.0023956005853199725,-0.00011978002926599862
1,60,-0.017089238587316338,-0.005132231454843273,-0.00025661157274216366
1,80,-0.016204921789107596,0.0008843167982087417,4.421583991043709e-05
1,100,-0.017901341946743785,-0.0016964201576361894,-8.482100788180947e-05
1,120,-0.019613024988304088,-0.0017116830415603024,-8.558415207801512e-05
1,150,-0.021111573593941297,-0.0014985486056372094,-4.995162018790698e-05
1,180,-0.02513191826197829,-0.004020344668036992,-0.0001340114889345664
2,1,-0.00308182860036022,-0.00308182860036022,-0.00308182860036022
2,5,-0.00558245181620759,-0.00250062321584737,-0.0006251558039618425
2,10,-0.006529482951161764,-0.0009470311349541738,-0.00018940622699083475
2,20,-0.00764611827346065,-0.0011166353222988867,-0.00011166353222988868
2,40,-0.008898958100618824,-0.001252839827158174,-6.26419913579087e-05
2,60,-0.012890265498965643,-0.0039913073983468186,-0.00019956536991734092
2,80,-0.01214947278518468,0.000740792713780962,3.7039635689048095e-05
2,100,-0.012125628616644617,2.3844168540064145e-05,1.1922084270032073e-06
2,120,-0.014907951885735996,-0.002782323269091379,-0.00013911616345456895
2,150,-0.016819123992473192,-0.0019111721067371964,-6.370573689123988e-05
2,180,-0.02070640167063206,-0.0038872776781588674,-0.00012957592260529557
3,1,-0.0018330288030880331,-0.0018330288030880331,-0.0018330288030880331
3,5,-0.0025515314870741407,-0.0007185026839861075,-0.00017962567099652688
3,10,-0.003064789208706905,-0.0005132577216327644,-0.00010265154432655288
3,20,-0.0034120079004171895,-0.00034721869171028437,-3.472186917102844e-05
3,40,-0.004386150241359268,-0.0009741423409420783,-4.8707117047103915e-05
